sample_id,timestamp,subject_id,session_id,camera_position,lighting_condition,exercise_type,active_arm,rom_elbow,upper_arm_angle_std,torso_sway_range,shoulder_angle_range,rep_duration,up_phase_duration,down_phase_duration,elbow_velocity_mean,elbow_velocity_std,motion_smoothness,elbow_drift_range,mean_visibility,label,error_type,notes
1,2026-05-21T05:51:01,S01,session_01,side,normal,biceps,left,120.10178465897877,1.4277603355131472,1.328158350677657,2.617565094264814,1.5753774642944336,0.47902822494506836,1.0963492393493652,150.8962331652044,200.87131329966903,3530.4552725735557,4.536816209513987,0.9437989322720347,correct,correct,good_form
2,2026-05-21T05:51:08,S01,session_01,side,normal,biceps,left,119.60163305142535,0.7615994975814206,3.193442285315732,3.6877014443075535,1.5678675174713135,0.5389225482940674,1.028944969177246,143.95829839646206,199.7209624014487,3801.269376957234,3.136116733937985,0.9404261666867468,correct,correct,good_form
3,2026-05-21T05:51:28,S01,session_01,side,normal,triceps,left,131.27705854568725,0.47445306996042375,4.376821806739202,5.968914795640705,2.2267253398895264,1.1133626699447632,1.1133626699447632,119.54119526129041,134.6685119165424,2132.8136926321326,3.0245490642086095,0.922965613603592,correct,correct,good_form
4,2026-05-21T05:51:54,S01,session_01,side,normal,triceps,right,116.49900871804755,1.421994489699214,2.186551309978479,4.2711352810099426,2.1363255977630615,1.0681627988815308,1.0681627988815308,158.9884155259378,156.39987692480483,2333.8226010550657,4.846669697420498,0.8899405561387539,correct,correct,good_form
